ディレクティブ, 説明
user, ワーカーロセスを実行するユーザー名とグループ名が設定される。グループ名が省略された場合、グループ名はユーザー名と同一とみなされる。
worker_processes, 起動されるワーカープロセス数を示す。ワーカープロセスがクライアントからのコネクションすべてを処理する。適切な値はサーバー環境、ディスクサブシステム、ネットワークインフラなどに依存するが、経験則としては、CPUネックの場合はプロセッサコア数と同等に、I/Oネックの場合はプロセッサコア数を1.5から2倍した値に設定するのがよい。
error_log, error_logはすべてのエラーが書き込まれるファイルを指定する。(debug, info, notice, warn, error, crit, alert, emerg)
pid, メインプロセスのプロセスIDが書き込まれるファイルを示す。
use, useディレクティブは利用するコネクション処理方式を示し、コンパイル時のディフォルト血を上書きする。
worker_connection, ワーカープロセスが同時にオープン可能なコネクションの最大数を設定する。
