ディレクティブ, 説明
lingering_close,クライアントからのコネクションをクローズする際に、追加で送信されたデータへの対応を制御する
lingering_time,本ディレクティブは、lingering_closeディレクティブが有効になっているコネクションで、通過で送信されたデータを処理するために コネクションをオープンしておく時間を指定する
ligering_timeout,本ディレクティブも、lingering_closeと組み合わせる事で、Nginxがコネクションをクローズする前に、追加されたデータを待ち受ける時間を 指定する
reset_timedout_connection,本ディレクティブが有効な場合、タイム会うとしたコネクションは即座にリセットされ、関連するメモリがすべて開放される。デフォルトでは、 ソケットがFIN_WAIT1の状態のまま残る。キープアライブコネクションは、常にデフォルトの動作を行う
send_lowat,0以外の場合、Nginxはクライアントとのソケットにおける送信処理の回数を最小化しようとする。Linux, Solaris, Windowsでは無視される。
send_timeout,書き込み処理に対するクライアントからのレスポンスのタイムアウト値を設定する
tcp_nodelay,キープアライブコネクションに対するTCP_NODELAYオプションの有効化、無効化を制御する
tcp_nopush,sendfileを使っている場合のみ有効である。有効かすることで、可能な限り最大サイズのパケットを用いてファイルを送信する といった動作を試行するようにする
